text,category
Outlook will not open. Outlook will not open. I have already restarted the computer once. Please help me troubleshoot the problem.,Software
Sensitive file sent to wrong person. Sensitive file sent to wrong person. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Security
Password may be compromised. Password may be compromised. I am working from home and need this resolved. Please help me troubleshoot the problem.,Security
Security warning keeps appearing. Security warning keeps appearing. I am working from home and need this resolved. Please help me troubleshoot the problem.,Security
Account is locked. Account is locked. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Account
Outlook search is not working. Outlook search is not working. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Email
External monitor is not detected. External monitor is not detected. The problem began after an update. Please help me troubleshoot the problem.,Hardware
Lost company laptop. Lost company laptop. I have already restarted the computer once. Please help me troubleshoot the problem.,Security
USB device is not recognised. USB device is not recognised. The problem began after an update. Please help me troubleshoot the problem.,Hardware
Emails are stuck in outbox. Emails are stuck in outbox. I am working from home and need this resolved. Please help me troubleshoot the problem.,Email
Cannot sign in after password reset. Cannot sign in after password reset. I have already restarted the computer once. Please help me troubleshoot the problem.,Account
Email folders are missing. Email folders are missing. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Email
Request to install approved software. Request to install approved software. This has happened several times today. Please help me troubleshoot the problem.,Other
Account says too many attempts. Account says too many attempts. I am working from home and need this resolved. Please help me troubleshoot the problem.,Account
Word document will not open. Word document will not open. I have tried signing out and back in. Please help me troubleshoot the problem.,Software
Mouse keeps disconnecting. Mouse keeps disconnecting. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Hardware
Laptop fan runs constantly. Laptop fan runs constantly. I am working from home and need this resolved. Please help me troubleshoot the problem.,Hardware
USB drive may contain malware. USB drive may contain malware. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Security
Not receiving new emails. Not receiving new emails. I have already restarted the computer once. Please help me troubleshoot the problem.,Email
General IT help request. General IT help request. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Other
Application window is blank. Application window is blank. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Software
Wi-Fi keeps disconnecting. Wi-Fi keeps disconnecting. The issue happens every few minutes. Please help me troubleshoot the problem.,Network
Cannot reach internal website. Cannot reach internal website. I have tried signing out and back in. Please help me troubleshoot the problem.,Network
Need access restored to my account. Need access restored to my account. I have tried signing out and back in. Please help me troubleshoot the problem.,Account
Shared mailbox is missing. Shared mailbox is missing. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Email
Application update is stuck. Application update is stuck. The problem began after an update. Please help me troubleshoot the problem.,Software
Unexpected sign-in alert. Unexpected sign-in alert. The problem began after an update. Please help me troubleshoot the problem.,Security
Laptop is overheating. Laptop is overheating. I have tried signing out and back in. Please help me troubleshoot the problem.,Hardware
Computer shuts down unexpectedly. Computer shuts down unexpectedly. This has happened several times today. Please help me troubleshoot the problem.,Hardware
Outlook will not open. Outlook will not open. I have tried signing out and back in. Please help me troubleshoot the problem.,Software
Docking station stopped working. Docking station stopped working. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Hardware
Cannot obtain an IP address. Cannot obtain an IP address. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Network
Mouse keeps disconnecting. Mouse keeps disconnecting. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Hardware
DNS lookup keeps failing. DNS lookup keeps failing. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Network
Inbox is not syncing. Inbox is not syncing. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Email
Cannot sign in after password reset. Cannot sign in after password reset. I have tried signing out and back in. Please help me troubleshoot the problem.,Account
Lost company laptop. Lost company laptop. I have tried signing out and back in. Please help me troubleshoot the problem.,Security
Cannot access work account. Cannot access work account. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Account
Account is locked. Account is locked. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Account
Program shows missing DLL error. Program shows missing DLL error. The issue happens every few minutes. Please help me troubleshoot the problem.,Software
